x,y,z
17.00000,3.12840,0.00000
17.00000,4.12870,0.00000
17.00000,4.12880,0.00000
17.00000,4.12930,0.00000
17.00000,4.13060,0.00000
17.00000,4.13080,0.00000
17.00000,5.13090,0.00000
17.00000,5.13120,0.00000
17.00000,5.13220,0.00000
17.00000,5.13360,0.00000
17.00000,5.13440,0.00000
17.00000,6.13480,0.00000
17.00000,6.13500,0.00000
17.00000,6.13550,0.00000
17.00000,6.13690,0.00000
17.00000,6.13770,0.00000
-1.00000,-1.00000,-119.00000
23.00000,0.00000,0.00000
23.00000,3.00000,0.00000
23.00000,4.00000,0.00000
23.00000,7.00000,0.00000
23.00000,8.00000,0.00000
23.00000,9.00000,0.00000
23.00000,10.00000,0.00000
23.00000,11.00000,0.00000
23.00000,12.00000,0.00000
23.00000,13.00000,0.00000
23.00000,14.00000,0.00000
23.00000,15.00000,0.00000
23.00000,16.00000,0.00000
-1.00000,-1.00000,-118.00000
24.00000,1.14420,0.00000
24.00000,3.00000,0.00000
24.00000,5.00000,0.00000
24.00000,6.00000,0.00000
24.00000,7.00000,0.00000
24.00000,11.00000,0.00000
24.00000,12.00000,0.00000
24.00000,13.00000,0.00000
25.00000,1.00000,0.00000
25.00000,2.00000,0.00000
25.00000,2.14540,0.00000
25.00000,4.00000,0.00000
25.00000,5.00000,0.00000
25.00000,6.00000,0.00000
25.00000,7.00000,0.00000
25.00000,8.00000,0.00000
25.00000,9.00000,0.00000
25.00000,10.00000,0.00000
25.00000,11.00000,0.00000
25.00000,12.00000,0.00000
25.00000,13.00000,0.00000
25.00000,15.00000,0.00000
25.00000,16.00000,0.00000
25.00000,17.00000,0.00000
25.00000,18.00000,0.00000
25.00000,19.00000,0.00000
25.00000,20.00000,0.00000
25.00000,21.00000,0.00000
25.00000,22.00000,0.00000
25.00000,23.00000,0.00000
3.00000,0.18150,0.00000
0.00000,6.18540,0.00000
2.00000,37.00000,0.00000
8.19170,3.19170,2.19170
7.56910,2.56910,1.56910
6.77340,1.77340,0.77340
14.47990,52.47990,9.47990
0.00000,7.23410,0.00000
0.00000,7.23420,0.00000
7.00000,27.00000,0.00000
10.73790,7.73790,3.73790
7.00000,8.25640,0.00000
6.00000,36.25980,0.00000
8.00000,5.00000,0.00000
8.00000,19.00000,0.00000
9.00000,20.27400,0.00000
9.00000,30.27430,0.00000
1.00000,18.00000,0.00000
9.00000,4.00000,0.00000
9.00000,28.28220,0.00000
9.00000,14.00000,0.00000
0.00000,23.28670,0.00000
-1.00000,-1.00000,-117.00000
5.00000,3.00000,0.00000
13.00000,13.30060,0.00000
6.00000,40.30120,0.00000
0.00000,34.00000,0.00000
0.00000,24.00000,0.00000
24.00000,1.30430,0.00000
23.00000,10.30440,0.00000
6.97970,1.97970,0.97970
9.00000,20.30650,0.00000
7.00000,4.30680,0.00000
13.00000,10.00000,0.00000
9.00000,11.00000,0.00000
1.00000,14.00000,0.00000
-1.00000,-1.00000,-116.00000
1.00000,34.31140,0.00000
12.00000,5.00000,0.00000
-1.00000,-1.00000,-115.00000
-1.00000,-1.00000,-114.00000
6.00000,32.31710,0.00000
13.00000,13.00000,0.00000
9.00000,40.00000,0.00000
-1.00000,-1.00000,-113.00000
-1.00000,-1.00000,-112.00000
-1.00000,-1.00000,-111.00000
-1.00000,-1.00000,-110.00000
3.00000,11.00000,0.00000
1.00000,41.00000,0.00000
-1.00000,-1.00000,-109.00000
-1.00000,-1.00000,-108.00000
-1.00000,-1.00000,-107.00000
-1.00000,-1.00000,-106.00000
1.00000,0.44640,0.00000
-1.00000,-1.00000,-105.00000
-1.00000,-1.00000,-104.00000
-1.00000,-1.00000,-103.00000
-1.00000,-1.00000,-102.00000
-1.00000,-1.00000,-101.00000
-1.00000,-1.00000,-100.00000
-1.00000,-1.00000,-99.00000
-1.00000,-1.00000,-98.00000
-1.00000,-1.00000,-97.00000
-1.00000,-1.00000,-96.00000
-1.00000,-1.00000,-95.00000
-1.00000,-1.00000,-94.00000
-1.00000,-1.00000,-93.00000
-1.00000,-1.00000,-92.00000
24.00000,1.00000,0.00000
-1.00000,-1.00000,-91.00000
-1.00000,-1.00000,-90.00000
-1.00000,-1.00000,-89.00000
-1.00000,-1.00000,-88.00000
-1.00000,-1.00000,-87.00000
24.00000,2.00000,0.00000
-1.00000,-1.00000,-86.00000
-1.00000,-1.00000,-85.00000
-1.00000,-1.00000,-84.00000
-1.00000,-1.00000,-83.00000
-1.00000,-1.00000,-82.00000
0.00000,22.82350,0.00000
0.00000,26.00000,0.00000
-1.00000,-1.00000,-81.00000
-1.00000,-1.00000,-80.00000
1.00000,7.00000,0.00000
1.00000,3.00000,0.00000
1.00000,5.00000,0.00000
1.00000,1.00000,0.00000
16.33400,47.33400,8.33400
-1.00000,-1.00000,-79.00000
-1.00000,-1.00000,-78.00000
-1.00000,-1.00000,-77.00000
16.70970,47.70970,8.70970
-1.00000,-1.00000,-76.00000
-1.00000,-1.00000,-75.00000
-1.00000,-1.00000,-74.00000
-1.00000,-1.00000,-73.00000
-1.00000,-1.00000,-72.00000
-1.00000,-1.00000,-71.00000
-1.00000,-1.00000,-70.00000
-1.00000,-1.00000,-69.00000
-1.00000,-1.00000,-68.00000
7.88870,2.88870,1.88870
-1.00000,-1.00000,-67.00000
-1.00000,-1.00000,-66.00000
-1.00000,-1.00000,-65.00000
9.25910,4.25910,3.25910
-1.00000,-1.00000,-64.00000
9.80160,4.80160,3.80160
-1.00000,-1.00000,-63.00000
-1.00000,-1.00000,-62.00000
10.37930,5.37930,4.37930
-1.00000,-1.00000,-61.00000
10.72230,5.72230,4.72230
-1.00000,-1.00000,-60.00000
-1.00000,-1.00000,-59.00000
-1.00000,-1.00000,-58.00000
13.85770,8.85770,7.85770
-1.00000,-1.00000,-57.00000
-1.00000,-1.00000,-56.00000
14.14590,9.14590,8.14590
-1.00000,-1.00000,-55.00000
-1.00000,-1.00000,-54.00000
-1.00000,-1.00000,-53.00000
15.17310,10.17310,9.17310
-1.00000,-1.00000,-52.00000
15.86830,10.86830,9.86830
-1.00000,-1.00000,-51.00000
-1.00000,-1.00000,-50.00000
16.62420,11.62420,10.62420
-1.00000,-1.00000,-49.00000
16.97780,11.97780,10.97780
-1.00000,-1.00000,-48.00000
-1.00000,-1.00000,-47.00000
17.15120,12.15120,11.15120
-1.00000,-1.00000,-46.00000
17.67620,12.67620,11.67620
-1.00000,-1.00000,-45.00000
-1.00000,-1.00000,-44.00000
18.34670,13.34670,12.34670
-1.00000,-1.00000,-43.00000
-1.00000,-1.00000,-42.00000
18.83620,13.83620,12.83620
-1.00000,-1.00000,-41.00000
-1.00000,-1.00000,-40.00000
-1.00000,-1.00000,-39.00000
-1.00000,-1.00000,-38.00000
-1.00000,-1.00000,-37.00000
-1.00000,-1.00000,-36.00000
19.42020,14.42020,13.42020
-1.00000,-1.00000,-35.00000
-1.00000,-1.00000,-34.00000
-1.00000,-1.00000,-33.00000
-1.00000,-1.00000,-32.00000
-1.00000,-1.00000,-31.00000
-1.00000,-1.00000,-30.00000
-1.00000,-1.00000,-29.00000
-1.00000,-1.00000,-28.00000
-1.00000,-1.00000,-27.00000
11.26680,51.26680,7.26680
11.69400,51.69400,7.69400
24.76530,55.76530,15.76530
0.00000,2.18322,0.00000
0.00000,2.18323,0.00000
0.00000,3.18324,0.00000
0.00000,3.18325,0.00000
0.00000,3.18326,0.00000
0.00000,3.18327,0.00000
0.00000,3.18328,0.00000
0.00000,3.18329,0.00000
0.00000,3.18330,0.00000
0.00000,3.18331,0.00000
0.00000,3.18332,0.00000
0.00000,3.18333,0.00000
0.00000,3.18334,0.00000
0.00000,3.18335,0.00000
0.00000,4.18340,0.00000
0.00000,4.18344,0.00000
0.00000,4.18348,0.00000
0.00000,4.18349,0.00000
0.00000,4.18350,0.00000
0.00000,4.18351,0.00000
0.00000,5.18352,0.00000
0.00000,5.18353,0.00000
0.00000,5.18354,0.00000
0.00000,5.18355,0.00000
0.00000,5.18356,0.00000
0.00000,5.18357,0.00000
0.00000,5.18358,0.00000
0.00000,5.18359,0.00000
0.00000,5.18360,0.00000
0.00000,5.18361,0.00000
0.00000,5.18362,0.00000
0.00000,5.18363,0.00000
0.00000,6.18374,0.00000
0.00000,6.18376,0.00000
0.00000,6.18377,0.00000
0.00000,6.18378,0.00000
0.00000,6.18379,0.00000
0.00000,7.18380,0.00000
0.00000,7.18381,0.00000
0.00000,7.18382,0.00000
0.00000,7.18383,0.00000
0.00000,7.18384,0.00000
0.00000,7.18385,0.00000
0.00000,7.18386,0.00000
0.00000,7.18387,0.00000
0.00000,7.18390,0.00000
0.00000,8.18392,0.00000
0.00000,8.18393,0.00000
0.00000,8.18394,0.00000
0.00000,8.18395,0.00000
0.00000,8.18396,0.00000
0.00000,8.18397,0.00000
0.00000,8.18398,0.00000
0.00000,8.18399,0.00000
0.00000,8.18400,0.00000
0.00000,8.18401,0.00000
0.00000,8.18402,0.00000
0.00000,8.18403,0.00000
0.00000,8.18404,0.00000
0.00000,8.18405,0.00000
0.00000,8.18406,0.00000
0.00000,8.18407,0.00000
0.00000,9.18408,0.00000
0.00000,9.18409,0.00000
0.00000,9.18410,0.00000
0.00000,9.18411,0.00000
0.00000,9.18412,0.00000
0.00000,9.18413,0.00000
0.00000,9.18414,0.00000
0.00000,9.18415,0.00000
0.00000,9.18416,0.00000
0.00000,9.18417,0.00000
0.00000,9.18418,0.00000
0.00000,9.18419,0.00000
0.00000,11.18420,0.00000
0.00000,11.18421,0.00000
0.00000,11.18422,0.00000
0.00000,11.18423,0.00000
0.00000,11.18424,0.00000
0.00000,11.18425,0.00000
0.00000,11.18426,0.00000
0.00000,11.18427,0.00000
0.00000,11.18428,0.00000
0.00000,11.18429,0.00000
0.00000,11.18430,0.00000
0.00000,11.18431,0.00000
0.00000,13.18432,0.00000
0.00000,13.18433,0.00000
0.00000,13.18434,0.00000
0.00000,13.18435,0.00000
0.00000,13.18436,0.00000
0.00000,13.18437,0.00000
0.00000,13.18438,0.00000
0.00000,13.18439,0.00000
0.00000,13.18440,0.00000
0.00000,13.18441,0.00000
0.00000,13.18442,0.00000
0.00000,13.18443,0.00000
0.00000,15.18444,0.00000
0.00000,15.18445,0.00000
0.00000,15.18446,0.00000
0.00000,15.18447,0.00000
0.00000,15.18448,0.00000
0.00000,15.18449,0.00000
0.00000,15.18450,0.00000
0.00000,15.18451,0.00000
0.00000,15.18452,0.00000
0.00000,15.18453,0.00000
0.00000,15.18454,0.00000
0.00000,15.18455,0.00000
0.00000,17.18456,0.00000
0.00000,17.18457,0.00000
0.00000,17.18458,0.00000
0.00000,17.18459,0.00000
0.00000,17.18460,0.00000
0.00000,17.18461,0.00000
0.00000,17.18462,0.00000
0.00000,17.18463,0.00000
0.00000,17.18464,0.00000
0.00000,17.18465,0.00000
0.00000,17.18466,0.00000
0.00000,17.18467,0.00000
0.00000,19.18468,0.00000
0.00000,19.18469,0.00000
0.00000,19.18470,0.00000
0.00000,19.18471,0.00000
